Заболели;Умерли;Вылечились;Активные случаи
США;49387208;791514;0;-1
Индия;34656822;473952;0;34182870
Бразилия;22157726;616018;0;21541708
Великобритания;10580051;145931;0;-1
Россия;9895597;284823;8602067;1008707
Турция;8945807;78215;0;8867592
Франция;7816162;117639;0;-1
Германия;6312346;104051;0;6208295
Иран;6141335;130356;0;6010979
Аргентина;5346242;116703;0;5229539
Испания;5246766;88237;0;-1
Италия;5134318;134386;0;4999932
Колумбия;5084466;128874;0;4955592
Индонезия;4258076;143893;0;4114183
Мексика;3902015;295313;0;3606702
Польша;3704040;86205;0;3617835
Украина;3683044;94499;0;3588545
ЮАР;3051222;90002;0;2961220
Филиппины;2835154;49499;0;2785655
Нидерланды;2793903;19792;0;-1
Малайзия;2667999;30718;0;2637281
Чехия;2262666;33902;0;2228764
Перу;2246633;201450;0;2045183
Таиланд;2148766;20997;0;2127769
Ирак;2085586;23919;0;2061667
Бельгия;1879784;27360;0;-1
Канада;1823674;29880;0;1793794
Румыния;1788260;57260;0;1731000
Чили;1775212;38535;0;1736677
Япония;1727382;18363;0;1709019
Бангладеш;1578011;28010;0;1550001
Израиль;1347474;8210;0;1339264
Вьетнам;1337523;26700;0;1310823
Пакистан;1287703;28793;0;1258910
Сербия;1267112;11995;0;-1
Словакия;1244362;15004;0;1229358
Швеция;1219557;15177;0;-1
Австрия;1207336;12921;0;1194415
Португалия;1172420;18572;0;1153848
Венгрия;1161879;35835;0;1126044
Швейцария;1078503;11661;0;1066842
Казахстан;1060125;17958;0;1042167
Иордания;988159;11817;0;976342
Греция;978402;18815;0;959587
Куба;963269;8311;0;954958
Марокко;950801;14788;0;936013
Грузия;871580;12466;0;859114
Непал;823102;11545;0;811557
ОАЭ;742438;2149;0;740289
Тунис;718696;25407;0;693289
Болгария;707885;29163;0;678722
Ливан;681332;8795;0;672537
Белоруссия;666137;5193;0;660944
Хорватия;635027;11329;0;623698
Гватемала;620435;15999;0;604436
Ирландия;602726;5707;0;597019
Азербайджан;598503;8004;0;590499
Шри-Ланка;569171;14505;0;554666
Коста-Рика;567706;7324;0;560382
Саудовская Аравия;549997;8847;0;541150
Боливия;546155;19264;0;526891
Эквадор;529456;33488;0;495968
Мьянма ;525005;19152;0;505853
Дания;522581;2965;0;519616
Южная Корея;489484;4020;0;485464
Литва;482458;6886;0;475572
Панама;479231;7375;0;471856
Парагвай;463479;16484;0;446995
Палестинские территории;462621;4822;0;457799
Венесуэла;435461;5202;0;430259
Словения;432793;5336;0;427457
Кувейт;413555;2465;0;411090
Доминиканская Республика;409002;4212;0;404790
Уругвай;401340;6137;0;395203
Монголия;383978;2020;0;381958
Гондурас;378251;10412;0;367839
Ливия;375869;5514;0;370355
Эфиопия;372462;6808;0;365654
Молдова;367339;9270;0;358069
Египет;364922;20821;0;344101
Армения;341058;7718;0;333340
Оман;304631;4113;0;300518
Норвегия;294754;1096;0;293658
Босния и Герцеговина;279179;12814;0;266365
Бахрейн;277894;1394;0;276500
Сингапур;270588;771;0;269817
Латвия;258419;4300;0;254119
Кения;255544;5337;0;250207
Катар;244545;611;0;243934
Эстония;225837;1826;0;224011
Австралия;222260;2072;0;220188
Северная Македония;217775;7674;0;210101
Нигерия;214896;2980;0;211916
Алжир;211859;6114;0;205745
Замбия;210374;3668;0;206706
Албания;202295;3122;0;199173
Финляндия;196180;1384;0;194796
Ботсвана;195552;2420;0;193132
Узбекистан;194703;1424;0;193279
Киргизия;183712;2762;0;180950
Косово;161147;2985;0;158162
Черногория;158838;2334;0;156504
Афганистан;157508;7317;0;150191
Мозамбик;152120;1941;0;150179
Зимбабве;141601;4713;0;136888
Кипр;138157;602;0;137555
Гана;131246;1228;0;130018
Намибия;130051;3574;0;126477
Уганда;127775;3258;0;124517
Камбоджа;120286;2967;0;117319
Сальвадор;119803;3789;0;116014
Китай;111919;4849;0;107070
Камерун;107148;1804;0;105344
Руанда;100449;1343;0;99106
Мальдивы;92501;255;0;92246
Люксембург;91908;888;0;91020
Ямайка;91554;2411;0;89143
Лаос;82082;214;0;81868
Тринидад и Тобаго;76601;2303;0;74298
Сенегал;74036;1886;0;72150
Ангола;65301;1735;0;63566
Реюньон;63863;391;0;63472
Малави;62015;2307;0;59708
Кот-д’Ивуар;61844;706;0;61138
Конго - Киншаса;59175;1113;0;58062
Гваделупа;55080;823;0;54257
Фиджи;52562;697;0;51865
Суринам;51052;1174;0;49878
Сирия;48801;2788;0;46013
Эсватини;48358;1248;0;47110
Французская Полинезия;46332;636;0;45696
Французская Гвиана;46205;329;0;45876
Мартиника;45811;724;0;45087
Мадагаскар;44800;972;0;43828
Судан;44170;3200;0;40970
Мальта;40101;468;0;39633
Мавритания;39621;844;0;38777
Кабо-Верде;38460;351;0;38109
Гайана;38261;1009;0;37252
Габон;37511;281;0;37230
Папуа — Новая Гвинея;35662;573;0;35089
Белиз;30888;588;0;30300
Гвинея;30798;388;0;30410
Того;26326;243;0;26083
Барбадос;26306;240;0;26066
Танзания;26270;730;0;25540
Гаити;25638;750;0;24888
Бенин;24863;161;0;24702
Сейшельские Острова;23689;127;0;23562
Сомали;23051;1331;0;21720
Багамы;22846;705;0;22141
Маврикий;22156;240;0;21916
Лесото;21838;663;0;21175
Бурунди;20523;38;0;20485
Восточный Тимор;19829;122;0;19707
Конго - Браззавиль;19066;359;0;18707
Андорра;18815;133;0;18682
Исландия;18765;35;0;18730
Мали;18112;619;0;17493
Кюрасао;17502;180;0;17322
Таджикистан;17493;125;0;17368
Никарагуа;17328;213;0;17115
Тайвань;16683;848;0;15835
Аруба;16484;175;0;16309
Буркина-Фасо;16334;290;0;16044
Бруней-Даруссалам;15229;98;0;15131
Экваториальная Гвинея;13599;175;0;13424
Джибути;13508;188;0;13320
Сент-Люсия;13052;283;0;12769
Южный Судан;12826;133;0;12693
Новая Зеландия;12518;44;0;12474
Новая Каледония;12409;279;0;12130
о-в Мэн;12147;67;0;12080
ЦАР;11742;101;0;11641
Йемен;10043;1955;0;8088
Гамбия;9998;342;0;9656
Острова Кайман;7663;9;0;7654
Эритрея;7513;62;0;7451
Гибралтар;7402;100;0;7302
Нигер;7099;265;0;6834
Гвинея-Бисау;6444;149;0;6295
Сьерра-Леоне;6405;121;0;6284
Сан-Марино;6308;94;0;6214
Доминика;6086;42;0;6044
Гренада;5909;200;0;5709
Либерия;5829;287;0;5542
Бермудские о-ва;5753;106;0;5647
Чад;5703;181;0;5522
Сент-Винсент и Гренадины;5645;76;0;5569
Лихтенштейн;5053;64;0;4989
Синт-Мартен;4613;75;0;4538
Коморы;4548;151;0;4397
Антигуа и Барбуда;4148;117;0;4031
Фарерские о-ва;4053;13;0;4040
Сен-Мартен;4040;56;0;3984
Монако;3942;36;0;3906
Сан-Томе и Принсипи;3733;56;0;3677
о-ва Тёркс и Кайкос;3107;25;0;3082
Виргинские о-ва ;2816;38;0;2778
Сент-Китс и Невис;2791;28;0;2763
Бутан;2641;3;0;2638
Сен-Бартелеми;1674;6;0;1668
Гренландия;1663;0;0;1663
Ангилья;1469;4;0;1465
Лайнер «Даймонд Принсесс»;712;13;0;699
Сен-Пьер и Микелон;91;0;0;91
Фолклендские о-ва;83;0;0;83
Монтсеррат;44;1;0;43
Ватикан;27;0;0;27
Соломоновы Острова;20;0;0;20
Палау;8;0;0;8
Вануату;6;1;0;5
Маршалловы Острова;4;0;0;4
Самоа;3;0;0;3
Кирибати;2;0;0;2
Тонга;1;0;0;1
Федеративные Штаты Микронезии;1;0;0;1
Всего;267359445;5277918;8602067;253479460
